3426	4692314.769	7511489.448	0.000		0.000	0.000	01:00:00	1970-01-01
3425	4692314.370	7511510.702	0.000		0.000	0.000	01:00:00	1970-01-01
3424	4692310.253	7511521.098	0.000		0.000	0.000	01:00:00	1970-01-01
3423	4692312.841	7511521.342	0.000		0.000	0.000	01:00:00	1970-01-01
3422	4692313.149	7511498.808	0.000		0.000	0.000	01:00:00	1970-01-01
3356	4692176.878	7511424.053	0.000		0.000	0.000	01:00:00	1970-01-01
3357	4692184.299	7511392.374	0.000		0.000	0.000	01:00:00	1970-01-01
3358	4692184.439	7511391.754	0.000		0.000	0.000	01:00:00	1970-01-01
3359	4692184.439	7511391.774	0.000		0.000	0.000	01:00:00	1970-01-01
3360	4692184.479	7511391.594	0.000		0.000	0.000	01:00:00	1970-01-01
3361	4692189.119	7511374.173	0.000		0.000	0.000	01:00:00	1970-01-01
3362	4692194.060	7511355.624	0.000		0.000	0.000	01:00:00	1970-01-01
3363	4692194.680	7511353.224	0.000		0.000	0.000	01:00:00	1970-01-01
3364	4692201.967	7511428.644	0.000		0.000	0.000	01:00:00	1970-01-01
3365	4692203.268	7511393.554	0.000		0.000	0.000	01:00:00	1970-01-01
3366	4692215.836	7511429.025	0.000		0.000	0.000	01:00:00	1970-01-01
3367	4692215.906	7511431.165	0.000		0.000	0.000	01:00:00	1970-01-01
3368	4692219.136	7511431.285	0.000		0.000	0.000	01:00:00	1970-01-01
3369	4692224.427	7511395.695	0.000		0.000	0.000	01:00:00	1970-01-01
3370	4692226.686	7511433.445	0.000		0.000	0.000	01:00:00	1970-01-01
3371	4692229.515	7511378.237	0.000		0.000	0.000	01:00:00	1970-01-01
3372	4692233.288	7511356.019	0.000		0.000	0.000	01:00:00	1970-01-01
3373	4692244.708	7511356.846	0.000		0.000	0.000	01:00:00	1970-01-01
3374	4692248.730	7511379.225	0.000		0.000	0.000	01:00:00	1970-01-01
3375	4692250.214	7511437.466	0.000		0.000	0.000	01:00:00	1970-01-01
3376	4692252.689	7511357.263	0.000		0.000	0.000	01:00:00	1970-01-01
3377	4692258.633	7511438.476	0.000		0.000	0.000	01:00:00	1970-01-01
3378	4692265.222	7511438.721	0.000		0.000	0.000	01:00:00	1970-01-01
3379	4692266.385	7511400.437	0.000		0.000	0.000	01:00:00	1970-01-01
3380	4692267.093	7511438.791	0.000		0.000	0.000	01:00:00	1970-01-01
3381	4692270.864	7511400.879	0.000		0.000	0.000	01:00:00	1970-01-01
3382	4692271.337	7511380.387	0.000		0.000	0.000	01:00:00	1970-01-01
3383	4692273.572	7511380.571	0.000		0.000	0.000	01:00:00	1970-01-01
3384	4692283.740	7511381.406	0.000		0.000	0.000	01:00:00	1970-01-01
3385	4692286.715	7511359.038	0.000		0.000	0.000	01:00:00	1970-01-01
3386	4692287.341	7511359.071	0.000		0.000	0.000	01:00:00	1970-01-01
3387	4692290.682	7511442.748	0.000		0.000	0.000	01:00:00	1970-01-01
3388	4692292.382	7511443.028	0.000		0.000	0.000	01:00:00	1970-01-01
3389	4692292.470	7511359.300	0.000		0.000	0.000	01:00:00	1970-01-01
3390	4692297.228	7511382.515	0.000		0.000	0.000	01:00:00	1970-01-01
3391	4692299.743	7511403.728	0.000		0.000	0.000	01:00:00	1970-01-01
3392	4692300.230	7511359.646	0.000		0.000	0.000	01:00:00	1970-01-01
3393	4692314.281	7511448.198	0.000		0.000	0.000	01:00:00	1970-01-01
