3386_stk	4692287.320	7511359.057	619.906
3389_stk	4692292.502	7511359.275	619.971
3412_stk	4692362.471	7511456.955	619.418
3413_stk	4692363.765	7511448.848	619.452
3420_stk	4692372.242	7511365.000	620.055
3421_stk	4692372.382	7511367.250	620.053
3419_stk	4692367.391	7511398.760	620.030
3417_stk	4692365.250	7511411.580	619.965
3416_stk	4692365.180	7511415.470	619.942
3418_stk	4692365.425	7511410.530	620.021
3415_stk	4692365.004	7511424.057	619.818
3414_stk	4692364.599	7511443.740	619.544
3392_stk	4692300.230	7511359.646	619.872
3400_stk	4692337.483	7511361.309	619.965
3405_stk	4692346.913	7511362.310	619.993
3396_stk	4692323.124	7511449.774	619.545
3397_stk	4692323.970	7511443.840	619.581
3398_stk	4692326.752	7511406.449	619.814
3399_stk	4692328.402	7511413.215	619.768
3402_stk	4692345.687	7511408.891	619.566
3403_stk	4692346.315	7511415.525	619.413
3404_stk	4692346.620	7511413.270	619.494
3406_stk	4692346.921	7511409.050	619.595
3407_stk	4692347.101	7511409.070	619.601
3408_stk	4692347.161	7511409.080	619.607
